case,field,type,status,computed,reference,diff
Calculate_C_alpha.0.0.11,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.12,default_cn_alpha,scalar,IDENTICAL,3.4324900313141122,3.4324900313141122,
Calculate_C_alpha.0.0.12,default_cl_alpha,scalar,IDENTICAL,3.4325901506287608,3.4325901506287608,
Calculate_C_alpha.0.0.12,default_alpha0,scalar,IDENTICAL,-4.6814510408519000E-002,-4.6814510408519000E-002,
Calculate_C_alpha.0.0.12,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.12,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.13,default_cn_alpha,scalar,IDENTICAL,3.4297454653307220,3.4297454653307220,
Calculate_C_alpha.0.0.13,default_cl_alpha,scalar,IDENTICAL,3.4314442350384993,3.4314442350384993,
Calculate_C_alpha.0.0.13,default_alpha0,scalar,IDENTICAL,-4.7035126138940876E-002,-4.7035126138940876E-002,
Calculate_C_alpha.0.0.13,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.13,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.14,default_cn_alpha,scalar,IDENTICAL,3.4407521151803078,3.4407521151803078,
Calculate_C_alpha.0.0.14,default_cl_alpha,scalar,IDENTICAL,3.4406115597605944,3.4406115597605944,
Calculate_C_alpha.0.0.14,default_alpha0,scalar,IDENTICAL,-4.7065431626989007E-002,-4.7065431626989007E-002,
Calculate_C_alpha.0.0.14,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.14,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.15,default_cn_alpha,scalar,IDENTICAL,5.0785073590329795,5.0785073590329795,
Calculate_C_alpha.0.0.15,default_cl_alpha,scalar,IDENTICAL,5.0786978960396167,5.0786978960396167,
Calculate_C_alpha.0.0.15,default_alpha0,scalar,IDENTICAL,-4.4568925263856349E-002,-4.4568925263856349E-002,
Calculate_C_alpha.0.0.15,errstat2,scalar,IDENTICAL,0,0,
Calculate_C_alpha.0.0.15,errmsg2,scalar,IDENTICAL,,,
Calculate_C_alpha.0.0.16,default_cn_alpha,scalar,IDENTICAL,5.1158838331738128,5.1158838331738128,
Calculate_C_alpha.0.0.16,default_cl_alpha,scalar,IDENTICAL,5.1165131105182526,5.1165131105182526,
