Drift report: ad_Kite_OLAF vs NREL r-test reference
Generated: 2026-04-21T02:27:32Z
Platform: NAME="Ubuntu"

Our output: /workspace/openfast/build/modules/aerodyn/baseline_gen_ad_Kite_OLAF/ad_driver.outb
NREL ref:   /workspace/openfast/build/modules/aerodyn/baseline_gen_ad_Kite_OLAF/ad_driver_nrel_ref.outb
Array shape: (50, 433) (timesteps, channels) = 21650 values

Bit-identical:                  11800 / 21650 (54.50%)
Within 1e-5 rel:                19683 / 21650 (90.91%)
Within 1e-5 rel OR 1e-6 abs:    21491 / 21650 (99.27%)
Max abs difference:            2.792824e-02
Max rel difference:            1.274671e-02

Per-channel drift (non-zero channels only):
  AB1N007Gam             (m^2/s   )  abs=1.683e-06  rel=4.504e-08  at t_idx=6
  AB1N032Alpha           (deg     )  abs=1.639e-06  rel=4.035e-08  at t_idx=1
  AB1N009Alpha           (deg     )  abs=1.639e-06  rel=4.035e-08  at t_idx=1
  AB1N008Alpha           (deg     )  abs=1.558e-06  rel=3.451e-08  at t_idx=0
  AB1N033Alpha           (deg     )  abs=1.558e-06  rel=3.451e-08  at t_idx=0
  AB1N040Alpha           (deg     )  abs=1.524e-06  rel=3.720e-08  at t_idx=1
  AB1N001Alpha           (deg     )  abs=1.524e-06  rel=3.720e-08  at t_idx=1
  AB1N016Gam             (m^2/s   )  abs=1.497e-06  rel=5.462e-08  at t_idx=4
  AB1N025Gam             (m^2/s   )  abs=1.497e-06  rel=5.462e-08  at t_idx=4
  AB1N037Gam             (m^2/s   )  abs=1.490e-06  rel=2.314e-08  at t_idx=5
  AB1N004Gam             (m^2/s   )  abs=1.490e-06  rel=2.314e-08  at t_idx=5
  AB1N013Alpha           (deg     )  abs=1.474e-06  rel=3.612e-08  at t_idx=1
  AB1N028Alpha           (deg     )  abs=1.474e-06  rel=3.612e-08  at t_idx=1
  AB1N001Gam             (m^2/s   )  abs=1.445e-06  rel=1.296e-07  at t_idx=0
  AB1N040Gam             (m^2/s   )  abs=1.445e-06  rel=1.296e-07  at t_idx=0
  AB1N020Alpha           (deg     )  abs=1.003e-06  rel=5.127e-07  at t_idx=13
  AB1N021Alpha           (deg     )  abs=1.003e-06  rel=5.127e-07  at t_idx=13
  AB1N018Alpha           (deg     )  abs=1.000e-06  rel=2.216e-08  at t_idx=0
  AB1N023Alpha           (deg     )  abs=1.000e-06  rel=2.216e-08  at t_idx=0
  AB1N026Alpha           (deg     )  abs=9.902e-07  rel=9.174e-08  at t_idx=10
  AB1N015Alpha           (deg     )  abs=9.902e-07  rel=9.174e-08  at t_idx=10
  AB1N031Alpha           (deg     )  abs=8.193e-07  rel=3.062e-08  at t_idx=2
  AB1N010Alpha           (deg     )  abs=8.193e-07  rel=3.062e-08  at t_idx=2
  AB1N021Gam             (m^2/s   )  abs=7.706e-07  rel=1.283e-08  at t_idx=5
  AB1N020Gam             (m^2/s   )  abs=7.706e-07  rel=1.283e-08  at t_idx=5
  AB1N022Gam             (m^2/s   )  abs=7.691e-07  rel=1.725e-08  at t_idx=7
  AB1N019Gam             (m^2/s   )  abs=7.691e-07  rel=1.725e-08  at t_idx=7
  AB1N018Gam             (m^2/s   )  abs=7.655e-07  rel=6.870e-08  at t_idx=0
  AB1N023Gam             (m^2/s   )  abs=7.655e-07  rel=6.870e-08  at t_idx=0
  AB1N024Gam             (m^2/s   )  abs=7.590e-07  rel=3.776e-08  at t_idx=6
  AB1N017Gam             (m^2/s   )  abs=7.590e-07  rel=3.776e-08  at t_idx=6
  RtVAvgyh               (m/s     )  abs=5.227e-07  rel=7.265e-08  at t_idx=28
  AB1N027Alpha           (deg     )  abs=4.927e-07  rel=1.786e-07  at t_idx=29
  AB1N003Alpha           (deg     )  abs=3.330e-07  rel=7.375e-09  at t_idx=0
  AB1N038Alpha           (deg     )  abs=3.330e-07  rel=7.375e-09  at t_idx=0
  AB1N016Alpha           (deg     )  abs=2.901e-07  rel=6.424e-09  at t_idx=0
  AB1N025Alpha           (deg     )  abs=2.901e-07  rel=6.424e-09  at t_idx=0
  AB1N038STVz            (m/s     )  abs=2.191e-07  rel=2.357e-08  at t_idx=26
  AB1N003STVz            (m/s     )  abs=2.191e-07  rel=2.357e-08  at t_idx=26
  RtVAvgzh               (m/s     )  abs=2.052e-07  rel=2.329e-08  at t_idx=1
  AB1N037STVz            (m/s     )  abs=1.934e-07  rel=3.151e-08  at t_idx=34
  AB1N004STVz            (m/s     )  abs=1.934e-07  rel=3.151e-08  at t_idx=34
  AB1N030Alpha           (deg     )  abs=1.638e-07  rel=4.604e-09  at t_idx=5
  AB1N011Alpha           (deg     )  abs=1.638e-07  rel=4.604e-09  at t_idx=5
  AB1N001STVz            (m/s     )  abs=1.570e-07  rel=2.255e-08  at t_idx=28
  AB1N040STVz            (m/s     )  abs=1.570e-07  rel=2.255e-08  at t_idx=28
  PtfmRoll               (deg     )  abs=1.414e-07  rel=2.923e-08  at t_idx=46
  AB1N035STVz            (m/s     )  abs=1.329e-07  rel=1.563e-08  at t_idx=27
  AB1N006STVz            (m/s     )  abs=1.329e-07  rel=1.563e-08  at t_idx=27
  AB1N010Cl              (-       )  abs=1.323e-07  rel=1.186e-07  at t_idx=27
  AB1N031Cl              (-       )  abs=1.323e-07  rel=2.010e-07  at t_idx=28
  AB1N012Cl              (-       )  abs=1.289e-07  rel=4.613e-08  at t_idx=4
  AB1N029Cl              (-       )  abs=1.289e-07  rel=4.613e-08  at t_idx=4
  AB1N028STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N015STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N013STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N014STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N017STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N016STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N026STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N018STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N019STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N020STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
  AB1N021STVz            (m/s     )  abs=1.285e-07  rel=1.580e-08  at t_idx=35
